Time,X,Y,Vx,Vy,Ax,Ay
4.86,7.112678,-0.2997593,0.1388392,-3.99759,1.635229,0.05010366
4.88,7.115455,-0.3836351,0.1280438,-3.99795,-0.5397677,-0.01802444
4.9,7.118016,-0.4675181,0.09670354,-3.998831,-1.567014,-0.04403591
4.92,7.11995,-0.5514187,0.06798486,-3.999422,-1.435934,-0.0295639
4.94,7.121309,-0.6353312,0.04169034,-3.999783,-1.314726,-0.01802444
4.96,7.122143,-0.7192508,0.01763617,-3.999961,-1.202708,-0.008928776
4.98,7.122496,-0.803174,-0.004352118,-3.999998,-1.099415,-0.001835823
5,7.122409,-0.887098,-0.02443721,-3.999926,-1.004255,0.003612041
5.02,7.12192,-0.9710205,-0.04277039,-3.999771,-0.9166589,0.007712841
5.04,7.121065,-1.05494,-0.05949664,-3.999557,-0.8363128,0.01070499
5.06,7.119875,-1.138855,-0.1451855,-3.997364,-4.284444,0.1096487
5.08,7.116971,-1.222726,-0.3441005,-3.985172,-9.945747,0.6096125
5.1,7.110089,-1.306354,-0.6479562,-3.94717,-15.19279,1.900077
5.12,7.09713,-1.389221,-0.776428,-3.923921,-6.423593,1.162457
5.14,7.081601,-1.471624,-0.8986609,-3.897744,-6.111643,1.30887
5.16,7.063628,-1.553502,-0.9716349,-3.880197,-3.648698,0.8773685
5.18,7.044195,-1.63503,-0.955432,-3.884218,0.8101434,-0.2010703
5.2,7.025086,-1.716639,-0.9406682,-3.88782,0.7381916,-0.1800895
5.22,7.006273,-1.798319,-0.9272211,-3.891049,0.6723553,-0.1614571
5.24,6.987729,-1.880064,-0.9149805,-3.893945,0.6120294,-0.1448274
5.26,6.969429,-1.961867,-0.6324844,-3.949679,14.12481,-2.786672
5.28,6.95678,-2.044785,0.12729,-3.997974,37.98872,-2.414751
5.3,6.959326,-2.128668,0.6900076,-3.940037,28.13588,2.896845
5.32,6.973126,-2.211393,1.61118,-3.661161,46.05862,13.9438
5.34,7.00535,-2.28854,2.09246,-3.409049,24.06399,12.60562
5.36,7.047199,-2.360645,2.188111,-3.348458,4.782546,3.029525
5.38,7.090961,-2.431538,2.155459,-3.369569,-1.632595,-1.055562
5.4,7.13407,-2.502854,2.098116,-3.40557,-2.867126,-1.800036
5.42,7.176032,-2.574889,1.983914,-3.473339,-5.710083,-3.388441
5.44,7.21571,-2.64828,1.813242,-3.565411,-8.533603,-4.603589
5.46,7.251975,-2.723512,1.12025,-3.839927,-34.64962,-13.72582
5.48,7.27438,-2.804235,0.534869,-3.964078,-29.26905,-6.207573
5.5,7.285078,-2.88744,-0.04255755,-3.999774,-28.87133,-1.784766
5.52,7.284226,-2.971359,-0.2334601,-3.993181,-9.545125,0.3296256
5.54,7.279557,-3.055147,-0.2114821,-3.994406,1.098896,-0.06121397
5.56,7.275328,-3.138959,-0.1914558,-3.995416,1.001318,-0.05050898
5.58,7.271499,-3.222791,-0.1268509,-3.997988,3.230246,-0.1286268
5.6,7.268961,-3.306675,0.07433226,-3.999309,10.05916,-0.06604195
5.62,7.270448,-3.390585,0.3367923,-3.985796,13.123,0.6756425
5.64,7.277184,-3.474225,0.4032837,-3.979618,3.324571,0.308907
5.66,7.28525,-3.557742,0.3983506,-3.980115,-0.246653,-0.02485514
5.68,7.293217,-3.641268,0.3938653,-3.980561,-0.2242669,-0.02231598
5.7,7.301094,-3.724803,0.2269557,-3.993556,-8.345481,-0.6497264
5.72,7.305633,-3.808598,0.06493517,-3.999473,-8.101026,-0.2958417
5.74,7.306932,-3.892512,-0.06833424,-3.999416,-6.66347,0.002837181
5.76,7.305565,-3.976424,-0.1971626,-3.995138,-6.441417,0.2139091
5.78,7.301622,-4.060251,-0.1807701,-3.995913,0.8196257,-0.03876686
5.8,7.298007,-4.144093,-0.1894492,-3.995511,-0.4339561,0.02011061
5.82,7.294218,-4.227927,-0.1750782,-3.996167,0.7185474,-0.03278255
5.84,7.290716,-4.311775,-0.1620326,-3.996717,0.6522819,-0.02750158
5.86,7.287476,-4.395633,-0.150196,-3.997179,0.5918279,-0.0231266
5.88,7.284472,-4.479501,-0.1394563,-3.997568,0.5369887,-0.01944304
5.9,7.281682,-4.563376,-0.1297152,-3.997896,0.4870519,-0.01639128
5.92,7.279088,-4.647258,-0.1208801,-3.998173,0.4417583,-0.01386404
5.94,7.27667,-4.731145,-0.1128706,-3.998407,0.4004713,-0.01170635
5.96,7.274413,-4.815038,-0.105608,-3.998606,0.3631331,-0.009918213
5.98,7.272301,-4.898934,-0.09902509,-3.998774,0.3291436,-0.008416176
